uid,grid_id
3V270801C1,28676
02v25f0735,47017
03v27f0823,29760
03v27f0824,29221
v27f0824c1,29221
04v44f1273,17025
01v08f0235,54381
01v08f0209,54381
04v51f1432,16198
v51f1432c1,16198
04v51f1431,16198
v51f1431c1,16198
v51f1431c2,16198
04v51f1429,16198
06v73f2062,32571
v73f2062c1,32570
01v03f0091,43544
v03f0091c1,43544
05v56f1562,4408
01v08f0224,52494
04v44f1265,17023
02v15f0442,48367
02v25f0734,48374
v44f1273c1,16754
02v25f0762,47834
02V24F0704,35651
V24F0725C1,36996
02V24F0725,36996
05V63F1770,7635
03V29F0859,33547
03V29F0872,33002
03v29f0869,33002
03v29f0871,33002
06V73F2046,33931
02V24F0729,36997
02V24F0706,35641
03V29F0864,32192
03v29f0865,32192
06V73F2058,33117
03V29F0881,33817
01V06F0169,45694
02V24F0724,36999
01V06F0155,46508
01v06f0168,46508
02V24F0712,35911
06V73F2049,32844
04V44F1260,15943
05V63F1773,7090
04V44F1253,15665
06V73F2055,33660
01V06F0153,47325
02V24F0716,35913
V24F0716C1,35913
04V44F1263,17291
05V63F1772,7632
02V24F0720,35373
06V73F2060,32574
01V04F0101,46513
04V44F1264,16750
01V06F0157,47865
06V73F2074,32842
04V44F1268,16747
01v12f0334,53861
02v24f0702,36728
06v72f2041,32855
6v72f2041c,32855
06v72f2021,32855
02v19f0576,36978
05v68f1907,2246
04v55f1524,13779
v55f1524c1,13779
v18f0563c1,39409
02v18f0563,39409
02v18f0543,39409
01v12f0335,55208
05v56f1542,3597
11f0332-c1,57641
04v50f1414,18924
02v18f0554,38590
02v18f0549,38320
01v11f0332,57640
01v11f0304,57644
01v12f0348,55488
01v11f0307,57645
04v55f1528,14051
06v73f2050,34476
01v11f0302,57102
v35f1031c1,33293
03v35f1031,33293
03v32f0949,34642
v32f0949c1,34642
02v18f0562,38594
02v24f0709,37810
03v38f1130,32784
05v56f1556,3871
06v73f2083,33665
01v07f0171,48698
01v07f0191,46803
04v49f1383,21920
04v43f1248,13492
01v02f0066,56560
02v22f0677,43485
01v02f0062,57093
05v66f1849,8979
02v25f0739,48912
v39f1157c1,33587
03v39f1157,33587
06v75f2140,32820
03v30f0886,31925
v30f0886c1,31925
03v30f0895,31925
02v22f0674,43759
06v78f2221,42843
01v10f0294,47621
02v25f0751,48104
04v44f1259,17562
v44f1259c1,17562
47f1352 c1,19760
04v47f1352,19760
v47f1349c1,19760
04v47f1349,19760
v35f1038c1,32484
05v63f1765,7636
06v78f2227,41759
01v02f0040,57363
03v35f1038,32483
06v78f2224,42573
05v63f1759,7089
04v47f1342,20031
03v37f1107,33305
v37f1107c1,33305
06v71f1985,22255
04v48f1366,18131
04v48f1362,18131
