Id,consent,SII_1,SII_1_other,SII_1_reason,SII_2,SII_2_unit,SII_2_unit_other,SII_3_1,SII_3_2,SII_3_2_other,SII_3_1_sub,SII_3_2_sub,SII_4_1,SII_4_2,SII_4_2_other,LoginDate,LoginStartTime,LoginEndTime,LoginDate_Last,LoginStartTime_Last,LoginEndTime_Last,SII_5,SII_6_1_UREA,SII_6_2_UREA,SII_6_3_UREA,SII_6_3_other_UREA,SII_6_4_UREA,SII_6_4_other_UREA,SII_7_1_UREA,SII_7_2_UREA,SII_7_3_UREA,SII_6_1_DAP,SII_6_2_DAP,SII_6_3_DAP,SII_6_3_other_DAP,SII_6_4_DAP,SII_6_4_other_DAP,SII_7_1_DAP,SII_7_2_DAP,SII_7_3_DAP,SII_6_1_MOP,SII_6_2_MOP,SII_6_3_MOP,SII_6_3_other_MOP,SII_6_4_MOP,SII_6_4_other_MOP,SII_7_1_MOP,SII_7_2_MOP,SII_7_3_MOP,SII_6_1_ZINC,SII_6_2_ZINC,SII_6_3_ZINC,SII_6_3_other_ZINC,SII_6_4_ZINC,SII_6_4_other_ZINC,SII_7_1_ZINC,SII_7_2_ZINC,SII_7_3_ZINC,SII_6_1_NPK,SII_6_2_NPK,SII_6_3_NPK,SII_6_3_other_NPK,SII_6_4_NPK,SII_6_4_other_NPK,SII_7_1_NPK,SII_7_2_NPK,SII_7_3_NPK,FKT_1,FKT_2,FKT_3
B01V02F0050,1,1,,,2,2,,3,2,,7,4,1,2,,10-8-2018,15:51:25,15:52:24,,,,1,1,1,5,,3,,1,,,1,2,5,,3,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,5,NA
B01V02F0052,1,1,,,30,1,,18,1,,0,,1,3,,16-8-2018,15:53:43,15:55:39,16-8-2018,15:58:15,15:59:48,1,1,342,1,,,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,4,
B01V02F0056,1,1,,,45,1,,30,1,,0,,1,2,,17-8-2018,15:17:14,15:19:9,17-8-2018,15:22:13,15:23:33,1,0,,,,,,,,,1,6,5,,3,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,2,
B01V02F0057,1,0,,,,,,,,,,,,,,11-8-2018,10:58:16,10:58:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
B01V02F0060,1,1,,,45,1,,25,1,,0,,1,3,,8-8-2018,10:24:56,10:25:50,,,,1,0,,,,,,,,,1,4,5,,3,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,5,NA
B01V02F0061,1,1,,,1,2,,7,1,,0,,1,2,,16-8-2018,16:7:41,16:8:25,,,,1,1,1,5,,3,,1,,,1,1,5,,3,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,5,NA
B01V02F0062,1,0,,PANI NATHI MATE AEMNE JUVAR NU VAVETAR KARYU CHE KAPAS NU VAVETAR KARYU NATHI,,,,,,,,,,,,16-8-2018,15:12:28,15:16:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,BAVU SARI CHE
B01V02F0063,1,1,,,1,2,,12,1,,0,,1,1,,17-8-2018,13:21:49,13:23:28,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,
B01V02F0064,1,1,,,25,1,,15,1,,0,,1,2,,18-8-2018,15:13:31,15:14:13,,,,1,0,,,,,,,,,1,10,5,,3,,0,15,1,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,5,
B01V03F0065,1,1,,,45,1,,5,1,,0,,1,2,,8-8-2018,16:21:8,16:22:36,8-8-2018,16:24:43,16:25:0,1,0,,,,,,,,,1,40,1,,,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,5,
B01V03F0066,1,1,,,40,1,,20,1,,0,,1,1,,18-8-2018,9:53:26,9:55:17,20-8-2018,11:40:0,11:40:16,1,1,2,5,,3,,1,,,1,4,5,,3,,1,,,0,,,,,,,,,1,1,5,,3,,1,,,0,,,,,,,,,1,5,
B01V03F0067,1,0,,RESPODENT KI DEATH HO GAI HAI,,,,,,,,,,,,10-8-2018,16:6:52,16:8:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
B01V03F0068,1,1,,,32,1,,25,1,,0,,1,1,,10-8-2018,15:42:36,15:43:38,,,,1,0,,,,,,,,,1,12,5,,3,,1,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,5,
