uid,lat,lon
B01V05F0123,22.494367399057598,71.54742539083375
B01V05F0129,22.505808763492887,71.58295737095251
B01V05F0131,22.439927151921143,71.57477076158357
B01V05F0142,22.460024044428774,71.65768214413052
B01V05F0148,22.46599766168604,71.55611542671788
B01V05F0125,22.497330062279094,71.59722626252214
B01V05F0128,22.553093641846296,71.58567435413258
B01V05F0133,22.510329106568275,71.60369931955584
B01V05F0127,22.528922971869758,71.56060102777978
B06V76F2168,23.032246711707472,71.2351528457009
B06V76F2167,23.038228627443015,71.19499275348467
B06V76F2161,23.01153821668326,71.18836171722117
B06V76F2172,23.05525890835251,71.22406209008197
B06V76F2163,23.07848502001393,71.24768147273392
B06V76F2170,23.0443516850886,71.25996509265875
B06V76F2178,23.023186124276084,71.29245326785272
B06V76F2152,23.039397463069704,71.17458764078049
B06V76F2166,22.99836976695758,71.22466371154991
B06V76F2159,23.071110437237408,71.1633512232515
B06V76F2164,23.041107770874607,71.22648746440595
B06V76F2158,23.01205867981807,71.24920874010465
B06V76F2157,23.030598436871703,71.32550441229812
B06V76F2155,23.057131869036652,71.1824897370769
B06V76F2169,23.0369822175142,71.22407024352171
B06V76F2156,23.071673200977806,71.16596342804168
B06V76F2153,23.079114654523647,71.24163103361414
B01V08F0225,22.460183033356447,71.74290733217215
B01V08F0219,22.450411709285547,71.7232651070469
B01V08F0215,22.49740978363967,71.63145183302817
B01V08F0212,22.469229401701888,71.78475873313015
B01V08F0221,22.520976642542006,71.78526766818311
B01V08F0206,22.5095779658751,71.65592075517267
B01V08F0203,22.482903324746253,71.68512179048699
B01V08F0214,22.50826123907437,71.65012074484895
B01V08F0220,22.45876601394792,71.71888490046135
B01V08F0230,22.485120356626737,71.70991681358116
B01V08F0207,22.53215925511965,71.69575799310422
B01V08F0205,22.4579509839428,71.74987533583835
B01V08F0233,22.542178377914823,71.77270155311305
B01V08F0238,22.49496459267089,71.80998459976814
B01V08F0226,22.432399006249046,71.74338360630604
B01V08F0217,22.47716359143571,71.72154100804904
B01V08F0216,22.41880664193861,71.74637772043148
B01V08F0237,22.47551210363752,71.82094665728611
B01V08F0211,22.41409898113802,71.7157260066955
B01V08F0234,22.477104867849544,71.71849901368032
B01V08F0222,22.52314638806198,71.71700683396554
B01V08F0229,22.39889580845158,71.72681306433063
B01V08F0235,22.402903126814536,71.70850023962524
B01V08F0224,22.423006578674737,71.77569048251753
B01V08F0209,22.459807096294675,71.75086111840614
B01V08F0232,22.48621362860971,71.7946952116906
B01V08F0227,22.386236809125794,71.69732983668095
B01V08F0228,22.463655005850505,71.75361058390418
B01V08F0204,22.50575388293934,71.72988310465996
B01V08F0236,22.455165762751076,71.74454943522414
B02V14F0391,22.67540114610543,71.48028520719227
B02V14F0395,22.614280317561967,71.48360627169554
B02V14F0402,22.66632026234431,71.41906308564067
B02V14F0413,22.657271761965074,71.51732693106796
B02V14F0411,22.63599468383926,71.60165505576316
B02V14F0407,22.602546961252653,71.52181005819341
B02V14F0423,22.633804319140577,71.49306214182842
B02V14F0399,22.65168741294055,71.41557744052278
B02V14F0397,22.605648782478358,71.4778687152009
B02V14F0393,22.674970833584727,71.48429493948252
B02V14F0422,22.639793266250372,71.48234778445659
B02V14F0419,22.616572559878147,71.53121706809932
B02V14F0421,22.583760973993236,71.50893144872221
B02V14F0414,22.668198563504408,71.5701880409341
B02V14F0403,22.660469997078767,71.54622737157044
B02V14F0400,22.635241431918338,71.4605903698566
B02V14F0412,22.58510868811856,71.51662660714794
B02V14F0406,22.620553609264906,71.52917977909145
B02V14F0418,22.65614615441213,71.51226526658698
B02V14F0410,22.633003507833237,71.4219549069074
B02V14F0396,22.663662774439423,71.53248189478019
B02V14F0405,22.68457889215743,71.46369275793717
B02V14F0401,22.637191598583637,71.50128648490798
B02V14F0404,22.618866345614794,71.50924631709994
B02V14F0417,22.63995702775659,71.58750196671946
B02V14F0392,22.678603633971942,71.45213159320157
B02V14F0416,22.632641556434223,71.55061879121983
B02V14F0408,22.663775275339894,71.49235286181717
B02V14F0394,22.609643058599804,71.55044375998544
B02V14F0409,22.658393029786417,71.52686073497031
B02V14F0420,22.631694140646953,71.43092041211979
B04V55F1515,22.15901916745665,71.03949830127445
B04V55F1535,22.158813058226386,71.09620781681488
B04V55F1525,22.124692224396583,71.00078530862358
B04V55F1523,22.088304870063308,71.05295122966943
B04V55F1522,22.16274294752297,71.10548853624681
B04V55F1516,22.0445776307278,71.04612669144089
B04V55F1512,22.195362140137536,71.00090299284261
B04V55F1531,22.07817448499629,71.11543422077361
B04V55F1511,22.104680896693385,70.99071815182344
B04V55F1513,22.087894084104068,71.0587336518331
B04V55F1526,22.072143116027217,71.0716602979992
